Date,Description,Amount,Type,Category
2024-02-18,Savour Foods Blue Area,2000,Debit,Food
2024-02-18,Chughtai Lab Diagnostic Test,3400,Debit,Healthcare
2024-02-18,Uber Trip to Office,1000,Debit,Travel
2024-02-19,Foodpanda Order,1300,Debit,Food
2024-02-19,Arena Gaming Zone,2300,Debit,Entertainment
2024-02-19,Pizza Hut Delivery,3400,Debit,Food
2024-02-20,KFC Gulberg Meal,1300,Debit,Food
2024-02-20,Al-Fatah Supermarket Grocery,12500,Debit,Shopping
2024-02-20,Uber Trip to Office,464,Debit,Travel
2024-02-22,Local Bakery & Cafe,1800,Debit,Food
2024-02-23,Al-Fatah Supermarket Grocery,13700,Debit,Shopping
2024-02-23,Daraz PK Online Order,10200,Debit,Shopping
2024-02-23,Aga Khan Pharmacy Medicine,2300,Debit,Healthcare
2024-02-23,Daraz PK Online Order,4700,Debit,Shopping
2024-02-24,Shell Fuel Station,6800,Debit,Travel
2024-02-25,Nueplex Cinema Movie Ticket,2100,Debit,Entertainment
2024-02-25,Daraz PK Online Order,14600,Debit,Shopping
2024-02-26,Aga Khan Pharmacy Medicine,2200,Debit,Healthcare
2024-02-26,Pizza Hut Delivery,2000,Debit,Food
2024-02-27,Nayatel Fiber Broadband,4000,Debit,Utilities
2024-02-29,Savour Foods Blue Area,1100,Debit,Food
2024-02-29,Chughtai Lab Diagnostic Test,5300,Debit,Healthcare
2024-02-29,Yango Cab Booking,372,Debit,Travel
2024-03-02,Monthly Salary Transfer - Tech Corp,260000,Credit,Salary
2024-03-03,Monthly House Rent Transfer,65000,Debit,Rent
2024-03-03,Aga Khan Pharmacy Medicine,3000,Debit,Healthcare
2024-03-03,Imtiaz Super Market,21600,Debit,Shopping
2024-03-03,ELO Clothing Store,3200,Debit,Shopping
2024-03-05,Imtiaz Super Market,14100,Debit,Shopping
2024-03-05,KFC Gulberg Meal,2200,Debit,Food
2024-03-06,Nayatel Fiber Broadband,4000,Debit,Utilities
2024-03-06,Careem Ride,957,Debit,Travel
2024-03-07,Sui Southern Gas Bill,2500,Debit,Utilities
2024-03-08,Careem Ride,1300,Debit,Travel
2024-03-08,McDonalds Clifton Drive Thru,2400,Debit,Food
2024-03-08,Shifa International Hospital Consultation,5900,Debit,Healthcare
2024-03-08,ELO Clothing Store,4700,Debit,Shopping
2024-03-09,Local Bakery & Cafe,1200,Debit,Food
2024-03-10,WASA Water & Sewerage,1500,Debit,Utilities
2024-03-11,Freelance Upwork Payout,79129,Credit,Freelance
2024-03-11,Nayatel Fiber Broadband,4400,Debit,Utilities
2024-03-12,Uber Trip to Office,993,Debit,Travel
2024-03-14,Nueplex Cinema Movie Ticket,2300,Debit,Entertainment
2024-03-14,PSO Petrol Pump Fuel,6700,Debit,Travel
2024-03-14,Pizza Hut Delivery,2700,Debit,Food
2024-03-15,Luxury Watch & Jewelry Store Dubai,185000,Debit,Shopping
2024-03-16,Yango Cab Booking,1100,Debit,Travel
2024-03-16,Chughtai Lab Diagnostic Test,6400,Debit,Healthcare
2024-03-17,Daraz PK Online Order,4700,Debit,Shopping
2024-03-18,ELO Clothing Store,3800,Debit,Shopping
2024-03-18,Yango Cab Booking,567,Debit,Travel
2024-03-20,Chughtai Lab Diagnostic Test,2100,Debit,Healthcare
2024-03-21,KFC Gulberg Meal,2500,Debit,Food
2024-03-21,KFC Gulberg Meal,2000,Debit,Food
2024-03-23,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-03-23,Imtiaz Super Market,24500,Debit,Shopping
2024-03-25,Al-Fatah Supermarket Grocery,7000,Debit,Shopping
2024-03-25,Yango Cab Booking,358,Debit,Travel
2024-03-27,Savour Foods Blue Area,1300,Debit,Food
2024-03-27,Al-Fatah Supermarket Grocery,8200,Debit,Shopping
2024-03-28,Foodpanda Order,1200,Debit,Food
2024-03-29,KFC Gulberg Meal,2000,Debit,Food
2024-03-29,Sui Southern Gas Bill,3000,Debit,Utilities
2024-03-29,Local Bakery & Cafe,540,Debit,Food
2024-03-29,Uber Trip to Office,1300,Debit,Travel
2024-03-31,Arena Gaming Zone,2900,Debit,Entertainment
2024-03-31,KFC Gulberg Meal,1100,Debit,Food
2024-04-01,Monthly Salary Transfer - Tech Corp,260000,Credit,Salary
2024-04-02,Shifa International Hospital Consultation,5300,Debit,Healthcare
2024-04-02,Yango Cab Booking,1100,Debit,Travel
2024-04-04,Aga Khan Pharmacy Medicine,2500,Debit,Healthcare
2024-04-04,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-04-05,Monthly House Rent Transfer,65000,Debit,Rent
2024-04-05,Savour Foods Blue Area,1900,Debit,Food
2024-04-06,PSO Petrol Pump Fuel,5300,Debit,Travel
2024-04-06,Aga Khan Pharmacy Medicine,1900,Debit,Healthcare
2024-04-07,Nueplex Cinema Movie Ticket,2500,Debit,Entertainment
2024-04-07,Nueplex Cinema Movie Ticket,2300,Debit,Entertainment
2024-04-08,Shifa International Hospital Consultation,5600,Debit,Healthcare
2024-04-09,Careem Ride,1300,Debit,Travel
2024-04-09,Foodpanda Order,1600,Debit,Food
2024-04-10,Local Bakery & Cafe,621,Debit,Food
2024-04-11,Shifa International Hospital Consultation,3400,Debit,Healthcare
2024-04-11,KE Electric Bill Online,13300,Debit,Utilities
2024-04-13,Arena Gaming Zone,2300,Debit,Entertainment
2024-04-13,Shell Fuel Station,5400,Debit,Travel
2024-04-13,Aga Khan Pharmacy Medicine,2900,Debit,Healthcare
2024-04-14,Freelance Upwork Payout,59217,Credit,Freelance
2024-04-14,McDonalds Clifton Drive Thru,2200,Debit,Food
2024-04-14,Yango Cab Booking,585,Debit,Travel
2024-04-15,Pizza Hut Delivery,1700,Debit,Food
2024-04-16,Mobile Balance EasyPaisa,1600,Debit,Others
2024-04-17,PSO Petrol Pump Fuel,3400,Debit,Travel
2024-04-19,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-04-19,Foodpanda Order,1300,Debit,Food
2024-04-19,McDonalds Clifton Drive Thru,2000,Debit,Food
2024-04-20,Al-Fatah Supermarket Grocery,9900,Debit,Shopping
2024-04-21,Careem Ride,1100,Debit,Travel
2024-04-23,Uber Trip to Office,660,Debit,Travel
2024-04-24,Shell Fuel Station,8500,Debit,Travel
2024-04-25,Pizza Hut Delivery,2500,Debit,Food
2024-04-27,Aga Khan Pharmacy Medicine,3000,Debit,Healthcare
2024-04-27,Nayatel Fiber Broadband,4500,Debit,Utilities
2024-04-28,PSO Petrol Pump Fuel,3400,Debit,Travel
2024-04-29,PSO Petrol Pump Fuel,7100,Debit,Travel
2024-04-29,Local Bakery & Cafe,762,Debit,Food
2024-04-29,Nueplex Cinema Movie Ticket,2100,Debit,Entertainment
2024-04-29,KFC Gulberg Meal,1700,Debit,Food
2024-04-30,Pizza Hut Delivery,2600,Debit,Food
2024-04-30,KE Electric Bill Online,18900,Debit,Utilities
2024-04-30,Nayatel Fiber Broadband,4400,Debit,Utilities
2024-04-30,Nayatel Fiber Broadband,3800,Debit,Utilities
2024-05-02,Monthly Salary Transfer - Tech Corp,255000,Credit,Salary
2024-05-02,McDonalds Clifton Drive Thru,1700,Debit,Food
2024-05-03,Monthly House Rent Transfer,65000,Debit,Rent
2024-05-04,WASA Water & Sewerage,1600,Debit,Utilities
2024-05-05,Chughtai Lab Diagnostic Test,5400,Debit,Healthcare
2024-05-05,Sui Southern Gas Bill,7200,Debit,Utilities
2024-05-06,Aga Khan Pharmacy Medicine,3600,Debit,Healthcare
2024-05-08,PSO Petrol Pump Fuel,3400,Debit,Travel
2024-05-08,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-05-11,Shifa International Hospital Consultation,4700,Debit,Healthcare
2024-05-11,Shell Fuel Station,5200,Debit,Travel
2024-05-12,Shifa International Hospital Consultation,3500,Debit,Healthcare
2024-05-12,Sui Southern Gas Bill,4900,Debit,Utilities
2024-05-13,Nueplex Cinema Movie Ticket,2200,Debit,Entertainment
2024-05-13,Nayatel Fiber Broadband,3900,Debit,Utilities
2024-05-14,Al-Fatah Supermarket Grocery,5000,Debit,Shopping
2024-05-15,Chughtai Lab Diagnostic Test,6000,Debit,Healthcare
2024-05-15,Shifa International Hospital Consultation,4600,Debit,Healthcare
2024-05-15,Cash Withdrawal ATM,24000,Debit,Others
2024-05-16,WASA Water & Sewerage,1700,Debit,Utilities
2024-05-17,Cash Withdrawal ATM,10600,Debit,Others
2024-05-17,Chughtai Lab Diagnostic Test,8100,Debit,Healthcare
2024-05-17,Sui Southern Gas Bill,4500,Debit,Utilities
2024-05-18,Cash Withdrawal ATM,22600,Debit,Others
2024-05-18,Shifa International Hospital Consultation,5600,Debit,Healthcare
2024-05-19,Freelance Upwork Payout,56702,Credit,Freelance
2024-05-19,Pizza Hut Delivery,2300,Debit,Food
2024-05-20,PSO Petrol Pump Fuel,3300,Debit,Travel
2024-05-21,Imtiaz Super Market,15900,Debit,Shopping
2024-05-21,Aga Khan Pharmacy Medicine,2100,Debit,Healthcare
2024-05-21,Yango Cab Booking,395,Debit,Travel
2024-05-22,Emergency Medical Treatment Hospital,120000,Debit,Healthcare
2024-05-23,Nueplex Cinema Movie Ticket,3100,Debit,Entertainment
2024-05-23,Yango Cab Booking,938,Debit,Travel
2024-05-23,Nueplex Cinema Movie Ticket,2000,Debit,Entertainment
2024-05-23,Careem Ride,1400,Debit,Travel
2024-05-23,KFC Gulberg Meal,1700,Debit,Food
2024-05-23,Shell Fuel Station,5300,Debit,Travel
2024-05-24,Nayatel Fiber Broadband,3800,Debit,Utilities
2024-05-25,Shifa International Hospital Consultation,3800,Debit,Healthcare
2024-05-25,Shell Fuel Station,7700,Debit,Travel
2024-05-27,Careem Ride,651,Debit,Travel
2024-05-28,Arena Gaming Zone,1700,Debit,Entertainment
2024-05-30,PSO Petrol Pump Fuel,4500,Debit,Travel
2024-05-30,Aga Khan Pharmacy Medicine,3200,Debit,Healthcare
2024-06-01,Monthly Salary Transfer - Tech Corp,250000,Credit,Salary
2024-06-02,Sui Southern Gas Bill,7300,Debit,Utilities
2024-06-03,Careem Ride,1200,Debit,Travel
2024-06-04,Aga Khan Pharmacy Medicine,2600,Debit,Healthcare
2024-06-06,Monthly House Rent Transfer,65000,Debit,Rent
2024-06-06,Pizza Hut Delivery,2400,Debit,Food
2024-06-06,Chughtai Lab Diagnostic Test,6200,Debit,Healthcare
2024-06-06,WASA Water & Sewerage,1400,Debit,Utilities
2024-06-09,PSO Petrol Pump Fuel,6600,Debit,Travel
2024-06-10,WASA Water & Sewerage,1300,Debit,Utilities
2024-06-10,Yango Cab Booking,627,Debit,Travel
2024-06-11,Arena Gaming Zone,2000,Debit,Entertainment
2024-06-12,Shifa International Hospital Consultation,5800,Debit,Healthcare
2024-06-14,Freelance Upwork Payout,46526,Credit,Freelance
2024-06-14,Netflix Monthly Subscription,1500,Debit,Entertainment
2024-06-14,Arena Gaming Zone,2400,Debit,Entertainment
2024-06-15,Mobile Balance EasyPaisa,1600,Debit,Others
2024-06-15,Nayatel Fiber Broadband,4100,Debit,Utilities
2024-06-16,Pizza Hut Delivery,3400,Debit,Food
2024-06-16,Local Bakery & Cafe,1400,Debit,Food
2024-06-16,PSO Petrol Pump Fuel,5000,Debit,Travel
2024-06-17,Aga Khan Pharmacy Medicine,1800,Debit,Healthcare
2024-06-17,Foodpanda Order,2300,Debit,Food
2024-06-17,Foodpanda Order,2400,Debit,Food
2024-06-19,Uber Trip to Office,698,Debit,Travel
2024-06-19,WASA Water & Sewerage,1600,Debit,Utilities
2024-06-19,Nueplex Cinema Movie Ticket,3100,Debit,Entertainment
2024-06-19,Cash Withdrawal ATM,24800,Debit,Others
2024-06-20,Shifa International Hospital Consultation,3100,Debit,Healthcare
2024-06-21,Yango Cab Booking,1100,Debit,Travel
2024-06-23,ELO Clothing Store,7100,Debit,Shopping
2024-06-24,Shell Fuel Station,5400,Debit,Travel
2024-06-24,Careem Ride,481,Debit,Travel
2024-06-24,Foodpanda Order,2400,Debit,Food
2024-06-26,Arena Gaming Zone,2300,Debit,Entertainment
2024-06-27,Sui Southern Gas Bill,3900,Debit,Utilities
2024-06-28,Nueplex Cinema Movie Ticket,2600,Debit,Entertainment
2024-06-28,Aga Khan Pharmacy Medicine,1900,Debit,Healthcare
2024-06-28,WASA Water & Sewerage,2100,Debit,Utilities
2024-06-29,Mobile Balance EasyPaisa,1400,Debit,Others
2024-06-30,WASA Water & Sewerage,1800,Debit,Utilities
2024-06-30,Al-Fatah Supermarket Grocery,7600,Debit,Shopping
2024-06-30,Uber Trip to Office,1400,Debit,Travel
